Stockholder,Stake,Sharesowned,Total value ($),Sharesbought / sold,Totalchange,Symbol
PRIMECAP Management Co.,2.63%,6706061,437905783,-70000,-1.03%,RCL
Canada Pension Plan Investment Bo...,1.87%,4767685,311329831,78193,+1.67%,RCL
Geode Capital Management LLC,1.73%,4416029,288366694,97232,+2.25%,RCL
"JPMorgan Investment Management, I...",1.48%,3772241,246327337,-1456961,-27.86%,RCL
Ariel Investments LLC,1.09%,2782081,181669889,-384173,-12.13%,RCL
"The Vanguard Group, Inc.",11.06%,17587130,2074929597,207321,+1.19%,SWKS
BlackRock Fund Advisors,6.17%,9808596,1157218156,-32220,-0.33%,SWKS
"SSgA Funds Management, Inc.",4.66%,7400655,873129277,3382,+0.05%,SWKS
"Victory Capital Management, Inc. ...",2.62%,4160288,490830778,1781488,+74.89%,SWKS
Vulcan Value Partners LLC,2.48%,3948502,465844266,-701927,-15.09%,SWKS
Geode Capital Management LLC,2.19%,3475826,410077951,28271,+0.82%,SWKS
Lazard Asset Management LLC,2.07%,3285893,387669656,428364,+14.99%,SWKS
Millennium Management LLC,1.59%,2530308,298525738,860175,+51.50%,SWKS
The London Company of Virginia LL...,1.13%,1800311,212400692,-28189,-1.54%,SWKS
"Northern Trust Investments, Inc.(...",1.11%,1767183,208492250,-51360,-2.82%,SWKS
BlackRock Fund Advisors,4.88%,2742029,833439715,-262243,-8.73%,SEDG
"The Vanguard Group, Inc.",3.69%,2073739,630312969,45032,+2.22%,SEDG
"SSgA Funds Management, Inc.",3.59%,2017126,613105448,-39506,-1.92%,SEDG
BlackRock Advisors (UK) Ltd.,2.70%,1513574,460050817,-316440,-17.29%,SEDG
Invesco Capital Management LLC,2.45%,1373580,417499641,38916,+2.92%,SEDG
Pictet Asset Management SA,2.34%,1313436,399218872,-221551,-14.43%,SEDG
"JPMorgan Investment Management, I...",2.29%,1284463,390412529,277664,+27.58%,SEDG
Schroder Investment Management Lt...,2.16%,1213584,368868857,24619,+2.07%,SEDG
Swedbank Robur Fonder AB,2.02%,1134196,344738874,-23730,-2.05%,SEDG
Geode Capital Management LLC,1.71%,962406,292523304,21350,+2.27%,SEDG
"The Vanguard Group, Inc.",9.60%,33080908,2503893927,299072,+0.91%,STT
Dodge & Cox,6.37%,21943754,1660922740,-109675,-0.50%,STT
"SSgA Funds Management, Inc.",5.45%,18769238,1420643624,10293,+0.05%,STT
BlackRock Fund Advisors,5.41%,18649570,1411585953,-28764,-0.15%,STT
"Bank of America, NA (Private Bank...",2.55%,8792585,665510759,-1335476,-13.19%,STT
Longview Partners LLP,2.23%,7675724,580975550,-81600,-1.05%,STT
"T. Rowe Price Associates, Inc. (I...",2.22%,7649336,578978242,-6280101,-45.09%,STT
Geode Capital Management LLC,2.18%,7517455,568996169,60433,+0.81%,STT
Capital Research & Management Co....,2.12%,7311511,553408268,16866,+0.23%,STT
"Invesco Advisers, Inc.",2.12%,7301476,552648718,98324,+1.37%,STT
"The Vanguard Group, Inc.",12.30%,21110261,2386726109,1921869,+10.02%,STLD
BlackRock Fund Advisors,6.07%,10409278,1176872971,-6066157,-36.82%,STLD
"SSgA Funds Management, Inc.",5.03%,8624766,975116044,679650,+8.55%,STLD
Fidelity Management & Research Co...,4.90%,8403743,950127184,416946,+5.22%,STLD
Dimensional Fund Advisors LP,3.34%,5721810,646907839,-405918,-6.62%,STLD
Geode Capital Management LLC,2.44%,4182335,472854795,994643,+31.20%,STLD
Royal London Asset Management Ltd...,1.88%,3228932,365063052,623961,+23.95%,STLD
Capital Research & Management Co....,1.79%,3064361,346456655,2290560,+296.01%,STLD
BlackRock Investment Management (...,1.60%,2748664,310763952,-1187524,-30.17%,STLD
"T. Rowe Price Associates, Inc. (I...",1.35%,2308698,261021396,309009,+15.45%,STLD
"The Vanguard Group, Inc.",10.74%,63820158,2076707941,673416,+1.07%,LUV
PRIMECAP Management Co.,8.78%,52198099,1698526141,-543385,-1.03%,LUV
"SSgA Funds Management, Inc.",6.72%,39915718,1298857464,-211944,-0.53%,LUV
BlackRock Fund Advisors,4.66%,27700154,901363011,1260061,+4.77%,LUV
T. Rowe Price Investment Manageme...,3.07%,18213320,592661433,1269782,+7.49%,LUV
"T. Rowe Price Associates, Inc. (I...",2.65%,15747666,512429052,-2004608,-11.29%,LUV
Columbia Management Investment Ad...,2.08%,12351698,401924253,-618539,-4.77%,LUV
Geode Capital Management LLC,2.00%,11892153,386970659,285836,+2.46%,LUV
Artisan Partners LP,1.85%,11010406,358278611,-555744,-4.80%,LUV
Putnam Investment Management LLC,1.67%,9894697,321973440,679734,+7.38%,LUV
"The Vanguard Group, Inc.",8.29%,12630731,4878619849,-2182415,-14.73%,SNPS
BlackRock Fund Advisors,5.46%,8318350,3212962688,293321,+3.66%,SNPS
"SSgA Funds Management, Inc.",4.16%,6331966,2445721868,182447,+2.97%,SNPS
"T. Rowe Price Associates, Inc. (I...",3.54%,5390414,2082047408,-1530937,-22.12%,SNPS
Capital Research & Management Co....,3.21%,4890128,1888811940,1078605,+28.30%,SNPS
"JPMorgan Investment Management, I...",2.53%,3851491,1487638399,-10942,-0.28%,SNPS
"Franklin Advisers, Inc.",2.17%,3304894,1276515308,-87835,-2.59%,SNPS
Geode Capital Management LLC,2.10%,3193035,1233309769,61433,+1.96%,SNPS
Norges Bank Investment Management,1.83%,2792155,1078469869,1393871,+99.68%,SNPS
Pictet Asset Management SA,1.83%,2788577,1077087866,-118904,-4.09%,SNPS
"The Vanguard Group, Inc.",8.88%,40869258,6769175203,-71562,-0.17%,TGT
"SSgA Funds Management, Inc.",7.18%,33040753,5472539919,-1151033,-3.37%,TGT
Capital Research & Management Co....,6.90%,31773271,5262606876,14453675,+83.45%,TGT
BlackRock Fund Advisors,4.84%,22270500,3688662915,-2822835,-11.25%,TGT
Massachusetts Financial Services ...,1.86%,8542364,1414871749,364824,+4.46%,TGT
Geode Capital Management LLC,1.79%,8220256,1361521001,120794,+1.49%,TGT
Wells Fargo Clearing Services LLC,1.43%,6596851,1092636431,-346400,-4.99%,TGT
"Franklin Advisers, Inc.",1.12%,5149972,852989862,408533,+8.62%,TGT
Fisher Asset Management LLC,1.11%,5093983,843716404,300077,+6.26%,TGT
Norges Bank Investment Management,1.06%,4870303,806668286,141950,+3.00%,TGT
"The Vanguard Group, Inc.",8.94%,45385765,3505142631,401006,+0.89%,SYY
Wellington Management Co. LLP,6.13%,31128214,2404031967,-1051980,-3.27%,SYY
"SSgA Funds Management, Inc.",4.87%,24716315,1908841007,839916,+3.52%,SYY
BlackRock Fund Advisors,4.43%,22489341,1736851805,590680,+2.70%,SYY
Parnassus Investments LLC,2.58%,13076228,1009877088,7723075,+144.27%,SYY
"JPMorgan Investment Management, I...",2.31%,11728477,905790279,-151275,-1.27%,SYY
Aristotle Capital Management LLC,2.26%,11444739,883877193,9253988,+422.41%,SYY
Geode Capital Management LLC,1.72%,8747941,675603483,166867,+1.94%,SYY
Lazard Asset Management LLC,1.71%,8673565,669859425,-1084723,-11.12%,SYY
"Victory Capital Management, Inc. ...",1.36%,6913769,533950380,-456094,-6.19%,SYY
"The Vanguard Group, Inc.",3.84%,46771359,6774363638,394002,+0.85%,TMUS
BlackRock Fund Advisors,2.45%,29902680,4331104171,2260896,+8.18%,TMUS
"SSgA Funds Management, Inc.",1.96%,23938555,3467260306,-149070,-0.62%,TMUS
"T. Rowe Price Associates, Inc. (I...",1.82%,22182295,3212883608,1800938,+8.84%,TMUS
Norges Bank Investment Management,1.64%,20010302,2898292142,-3346417,-14.33%,TMUS
Fidelity Management & Research Co...,1.63%,19815466,2870072095,271379,+1.39%,TMUS
Geode Capital Management LLC,0.99%,12106454,1753498797,122503,+1.02%,TMUS
Dodge & Cox,0.95%,11590334,1678743977,-4282822,-26.98%,TMUS
Wellington Management Co. LLP,0.68%,8315176,1204370092,-1115596,-11.83%,TMUS
RBC Global Asset Management (UK) ...,0.67%,8200661,1187783739,582582,+7.65%,TMUS
Capital Research & Management Co....,11.10%,35139534,4608549884,12441248,+54.81%,TEL
"The Vanguard Group, Inc.",8.49%,26877087,3524929960,137398,+0.51%,TEL
Dodge & Cox,5.13%,16247285,2130831428,-663809,-3.93%,TEL
"SSgA Funds Management, Inc.",3.74%,11839801,1552789901,-114725,-0.96%,TEL
BlackRock Fund Advisors,3.37%,10668141,1399126692,122440,+1.16%,TEL
ClearBridge Investments LLC,3.10%,9803953,1285788436,-1240312,-11.23%,TEL
T. Rowe Price Investment Manageme...,2.88%,9122472,1196412203,-6368713,-41.11%,TEL
Harris Associates LP,2.66%,8420102,1104296377,970482,+13.03%,TEL
Janus Henderson Investors US LLC,2.56%,8102258,1062611137,1048398,+14.86%,TEL
"T. Rowe Price Associates, Inc. (I...",2.53%,7990152,1047908435,837735,+11.71%,TEL
"The Vanguard Group, Inc.",11.28%,17262289,1390995248,546676,+3.27%,SWK
"T. Rowe Price Associates, Inc. (I...",10.08%,15423116,1242794687,2484805,+19.21%,SWK
"SSgA Funds Management, Inc.",7.13%,10910544,879171636,2495756,+29.66%,SWK
BlackRock Fund Advisors,4.85%,7422330,598091351,45461,+0.62%,SWK
Capital Research & Management Co....,2.51%,3837324,309211568,-866608,-18.42%,SWK
"Wells Fargo Bank, NA (Private Ban...",2.42%,3695438,297778394,-6520,-0.18%,SWK
"Barrow, Hanley, Mewhinney & Strau...",2.00%,3059199,246510255,141094,+4.84%,SWK
Massachusetts Financial Services ...,1.96%,3002656,241954020,-5036769,-62.65%,SWK
Geode Capital Management LLC,1.94%,2974126,239655073,67816,+2.33%,SWK
Cooke & Bieler LP,1.45%,2214576,178450534,-63200,-2.77%,SWK
"The Vanguard Group, Inc.",10.40%,17546924,2093348033,345022,+2.01%,TTWO
BlackRock Fund Advisors,4.94%,8330877,993873626,-918059,-9.93%,TTWO
Capital Research & Management Co....,4.74%,7993118,953578977,7072058,+767.82%,TTWO
"SSgA Funds Management, Inc.",4.05%,6823602,814055719,-13191,-0.19%,TTWO
Columbia Management Investment Ad...,2.72%,4588878,547453145,914850,+24.90%,TTWO
Massachusetts Financial Services ...,2.30%,3880837,462983854,636365,+19.61%,TTWO
Capital Research & Management Co....,2.27%,3826643,456518510,73903,+1.97%,TTWO
"JPMorgan Investment Management, I...",2.08%,3509832,418722958,-508410,-12.65%,TTWO
Geode Capital Management LLC,1.98%,3338907,398331605,85286,+2.62%,TTWO
Point72 Asset Management LP,1.69%,2854389,340528608,1269716,+80.12%,TTWO
"The Vanguard Group, Inc.",11.05%,25032638,1826130942,2868065,+12.94%,TRGP
"SSgA Funds Management, Inc.",6.89%,15615405,1139143795,6771080,+76.56%,TRGP
BlackRock Fund Advisors,5.64%,12771212,931659915,-6486919,-33.68%,TRGP
Harvest Fund Advisors LLC,4.06%,9198538,671033347,-801007,-8.01%,TRGP
Tortoise Capital Advisors LLC,3.77%,8548261,623595640,-324912,-3.66%,TRGP
Wellington Management Co. LLP,3.22%,7303564,532794994,781459,+11.98%,TRGP
Goldman Sachs Asset Management LP,2.37%,5367613,391567368,-376213,-6.55%,TRGP
Geode Capital Management LLC,2.03%,4593308,335081819,1631589,+55.09%,TRGP
Neuberger Berman Investment Advis...,1.87%,4230485,308613881,-170283,-3.87%,TRGP
"Invesco Advisers, Inc.",1.84%,4157822,303313115,135359,+3.37%,TRGP
"T. Rowe Price Associates, Inc. (I...",12.50%,5876353,2628845278,1339098,+29.51%,TDY
"The Vanguard Group, Inc.",10.89%,5117428,2289332590,75280,+1.49%,TDY
T. Rowe Price Investment Manageme...,5.78%,2717685,1215783562,60379,+2.27%,TDY
Select Equity Group LP,4.82%,2265726,1013595183,-114920,-4.83%,TDY
BlackRock Fund Advisors,4.76%,2238579,1001450701,78084,+3.61%,TDY
"SSgA Funds Management, Inc.",3.93%,1844674,825233361,6269,+0.34%,TDY
Janus Henderson Investors US LLC,3.00%,1411044,631244644,42224,+3.08%,TDY
Kayne Anderson Rudnick Investment...,2.62%,1232750,551483040,-14813,-1.19%,TDY
Geode Capital Management LLC,2.00%,940751,420854367,21360,+2.32%,TDY
"JPMorgan Investment Management, I...",1.30%,612343,273937764,123569,+25.28%,TDY
"The Vanguard Group, Inc.",11.64%,11557426,2210704445,115021,+1.01%,STE
BlackRock Fund Advisors,5.74%,5700800,1090449024,240781,+4.41%,STE
WCM Investment Management LLC,5.60%,5563771,1064238117,-228364,-3.94%,STE
Massachusetts Financial Services ...,5.08%,5038403,963745726,-48884,-0.96%,STE
"SSgA Funds Management, Inc.",4.23%,4196734,802751280,-92280,-2.15%,STE
APG Asset Management NV,3.43%,3402783,650884332,70419,+2.11%,STE
Morgan Stanley Investment Managem...,2.67%,2652899,507446521,1085781,+69.29%,STE
"T. Rowe Price Associates, Inc. (I...",2.38%,2364283,452240052,107474,+4.76%,STE
Janus Henderson Investors US LLC,2.32%,2302984,440514780,-34781,-1.49%,STE
Geode Capital Management LLC,2.13%,2115820,404714050,32366,+1.55%,STE
"The Vanguard Group, Inc.",8.78%,100886712,10505333321,1692811,+1.71%,SBUX
BlackRock Fund Advisors,4.34%,49871945,5193165633,1427270,+2.95%,SBUX
"SSgA Funds Management, Inc.",3.83%,43984541,4580110254,-909716,-2.03%,SBUX
Capital Research & Management Co....,2.27%,26027872,2710282311,795790,+3.15%,SBUX
Geode Capital Management LLC,1.84%,21175178,2204971285,487878,+2.36%,SBUX
Managed Account Advisors LLC,1.66%,19036850,1982307191,1284135,+7.23%,SBUX
"Northern Trust Investments, Inc.(...",1.24%,14283586,1487349810,231895,+1.65%,SBUX
Wellington Management Co. LLP,1.23%,14137574,1472145581,-8568423,-37.74%,SBUX
"BofA Securities, Inc.",1.10%,12645584,1316784662,11829920,"+1,450.34%",SBUX
Norges Bank Investment Management,1.07%,12327931,1283707455,2160880,+21.25%,SBUX
"The Vanguard Group, Inc.",11.13%,17372247,1867690275,123321,+0.71%,TER
BlackRock Fund Advisors,6.22%,9707479,1043651067,167325,+1.75%,TER
Fidelity Management & Research Co...,6.00%,9354929,1005748417,158238,+1.72%,TER
"JPMorgan Investment Management, I...",4.92%,7678305,825494571,198416,+2.65%,TER
"SSgA Funds Management, Inc.",4.03%,6292759,676534520,-130736,-2.04%,TER
Columbia Management Investment Ad...,3.75%,5846718,628580652,-98394,-1.66%,TER
Baillie Gifford & Co.,3.42%,5335783,573650030,-325115,-5.74%,TER
Kayne Anderson Rudnick Investment...,2.70%,4210949,452719127,-82502,-1.92%,TER
Geode Capital Management LLC,2.14%,3340743,359163280,67885,+2.07%,TER
Nordea Investment Management AB (...,1.91%,2980038,320383885,194890,+7.00%,TER
"The Vanguard Group, Inc.",12.82%,56004645,1628615077,-3295203,-5.56%,SYF
Capital Research & Management Co....,10.32%,45088025,1311159767,-2727,-0.01%,SYF
BlackRock Fund Advisors,5.35%,23392655,680258407,-1998392,-7.87%,SYF
"SSgA Funds Management, Inc.",4.86%,21228255,617317655,-774328,-3.52%,SYF
Fidelity Management & Research Co...,3.96%,17307937,503314808,-2419319,-12.26%,SYF
Managed Account Advisors LLC,3.35%,14638561,425689354,5846594,+66.50%,SYF
Geode Capital Management LLC,2.15%,9387906,273000306,-524312,-5.29%,SYF
Southpoint Capital Advisors LP,2.13%,9300000,270444000,1600000,+20.78%,SYF
"PAR Capital Management, Inc.",1.87%,8150000,237002000,0,0.00%,SYF
Goldman Sachs Asset Management LP,1.77%,7736269,224970703,-350409,-4.33%,SYF
T. Rowe Price Investment Manageme...,18.39%,8633473,2186945046,181393,+2.15%,TFX
"The Vanguard Group, Inc.",11.14%,5229715,1324739107,79135,+1.54%,TFX
Wellington Management Co. LLP,6.59%,3092719,783416650,211687,+7.35%,TFX
BlackRock Fund Advisors,5.49%,2579217,653341458,106044,+4.29%,TFX
"SSgA Funds Management, Inc.",4.87%,2284374,578654778,248635,+12.21%,TFX
Janus Henderson Investors US LLC,4.55%,2136954,541311818,29034,+1.38%,TFX
Atlanta Capital Management Co. LL...,4.09%,1917914,485826795,477064,+33.11%,TFX
"T. Rowe Price Associates, Inc. (I...",2.60%,1221758,309483519,-226739,-15.65%,TFX
Geode Capital Management LLC,2.02%,948646,240301518,20462,+2.20%,TFX
Allspring Global Investments LLC,1.77%,832339,210839792,39293,+4.95%,TFX
"The Vanguard Group, Inc.",12.56%,29642561,1277890805,-131825,-0.44%,TPR
"JPMorgan Investment Management, I...",5.84%,13779635,594040065,544906,+4.12%,TPR
BlackRock Fund Advisors,4.83%,11400784,491487798,-337103,-2.87%,TPR
Fidelity Management & Research Co...,4.51%,10634447,458451010,150320,+1.43%,TPR
"SSgA Funds Management, Inc.",4.17%,9841816,424280688,-389349,-3.81%,TPR
Franklin Mutual Advisers LLC,3.92%,9244677,398538025,-504744,-5.18%,TPR
AllianceBernstein LP,2.69%,6346295,273588777,-23885,-0.37%,TPR
Ninety One UK Ltd.,2.61%,6157312,265441720,-286428,-4.45%,TPR
Columbia Management Investment Ad...,2.29%,5416251,233494581,-432750,-7.40%,TPR
Geode Capital Management LLC,2.13%,5028422,216775272,-78293,-1.53%,TPR
"The Vanguard Group, Inc.",7.61%,28828804,8229758678,424537,+1.49%,SYK
"Greenleaf Asset Management, Inc.",5.56%,21048539,6008726428,1413054,+7.20%,SYK
Wellington Management Co. LLP,4.50%,17030078,4861576367,-619312,-3.51%,SYK
BlackRock Fund Advisors,4.17%,15801049,4510725458,232297,+1.49%,SYK
"T. Rowe Price Associates, Inc. (I...",3.95%,14964141,4271813331,-5165175,-25.66%,SYK
"SSgA Funds Management, Inc.",3.73%,14119016,4030555498,66325,+0.47%,SYK
Capital Research & Management Co....,3.72%,14076626,4018454424,1443660,+11.43%,SYK
Fundsmith LLP,1.91%,7252553,2070386305,-5440,-0.07%,SYK
Geode Capital Management LLC,1.54%,5836252,1666074858,140273,+2.46%,SYK
"Franklin Advisers, Inc.",1.13%,4262346,1216771913,-158364,-3.58%,SYK
"The Vanguard Group, Inc.",11.93%,26762097,3021440751,3532958,+15.21%,TROW
"SSgA Funds Management, Inc.",6.65%,14929926,1685588645,659295,+4.62%,TROW
BlackRock Fund Advisors,5.72%,12835156,1449089112,-575830,-4.29%,TROW
Fayez Sarofim & Co.,3.49%,7837935,884902862,-1251127,-13.77%,TROW
"JPMorgan Investment Management, I...",2.85%,6398574,722399005,-1303202,-16.92%,TROW
Geode Capital Management LLC,2.42%,5438480,614004392,32545,+0.60%,TROW
Charles Schwab Investment Managem...,2.14%,4799427,541855308,453033,+10.42%,TROW
American Century Investment Manag...,1.55%,3477745,392637411,82290,+2.42%,TROW
"Victory Capital Management, Inc. ...",1.21%,2714587,306476872,1884127,+226.88%,TROW
Provident Trust Co.,1.05%,2355614,265948821,120460,+5.39%,TROW
"The Vanguard Group, Inc.",10.95%,27041900,1417536398,210960,+0.79%,TRMB
Capital Research & Management Co....,6.43%,15874269,832129181,43052,+0.27%,TRMB
BlackRock Fund Advisors,5.10%,12602597,660628135,171327,+1.38%,TRMB
Impax Asset Management Ltd.,4.37%,10789353,565577884,1303824,+13.75%,TRMB
"SSgA Funds Management, Inc.",4.00%,9873960,517592983,-87287,-0.88%,TRMB
Select Equity Group LP,3.28%,8088186,423982710,26670,+0.33%,TRMB
PRIMECAP Management Co.,2.12%,5225046,273896911,-323940,-5.84%,TRMB
Geode Capital Management LLC,2.10%,5182777,271681170,81876,+1.61%,TRMB
"Nikko Asset Management Co., Ltd.",1.99%,4922467,258035720,427840,+9.52%,TRMB
Luther King Capital Management Co...,1.76%,4337820,227388524,254334,+6.23%,TRMB
"The Vanguard Group, Inc.",15.52%,51098420,2098101125,530851,+1.05%,UDR
Cohen & Steers Capital Management...,10.44%,34360426,1410839092,3084109,+9.86%,UDR
Norges Bank Investment Management,7.17%,23588802,968556210,5459717,+30.12%,UDR
BlackRock Fund Advisors,6.57%,21611577,887371352,585138,+2.78%,UDR
"SSgA Funds Management, Inc.",6.27%,20648352,847821333,419722,+2.07%,UDR
"JPMorgan Investment Management, I...",2.52%,8286161,340229771,2928774,+54.67%,UDR
Geode Capital Management LLC,2.08%,6851059,281304483,116929,+1.74%,UDR
FIAM LLC,1.92%,6323107,259626773,460559,+7.86%,UDR
Daiwa Asset Management Co. Ltd.,1.85%,6094686,250247807,-1040569,-14.58%,UDR
"Invesco Advisers, Inc.",1.78%,5864613,240801010,-339688,-5.48%,UDR
"The Vanguard Group, Inc.",11.30%,5670931,3094456919,85815,+1.54%,ULTA
BlackRock Fund Advisors,5.37%,2694514,1470315454,-148690,-5.23%,ULTA
"SSgA Funds Management, Inc.",3.93%,1969988,1074963352,-61806,-3.04%,ULTA
"T. Rowe Price Associates, Inc. (I...",3.05%,1530543,835171399,852258,+125.65%,ULTA
Fidelity Management & Research Co...,2.58%,1296807,707628676,30306,+2.39%,ULTA
Geode Capital Management LLC,2.15%,1080779,589748677,15543,+1.46%,ULTA
Wellington Management Co. LLP,2.10%,1053215,574707829,140233,+15.36%,ULTA
Arrowstreet Capital LP,1.90%,953617,520360188,254505,+36.40%,ULTA
Alecta Pension Insurance Mutual,1.76%,882605,481611070,-258000,-22.62%,ULTA
Columbia Management Investment Ad...,1.74%,871115,475341322,74808,+9.39%,ULTA
"The Vanguard Group, Inc.",13.12%,37458573,2222042550,738587,+2.01%,TSN
BlackRock Fund Advisors,5.77%,16472293,977136421,1055023,+6.84%,TSN
"SSgA Funds Management, Inc.",5.10%,14567089,864119719,111214,+0.77%,TSN
Charles Schwab Investment Managem...,2.23%,6355049,376981507,603829,+10.50%,TSN
Geode Capital Management LLC,2.10%,6003125,356105375,-10626,-0.18%,TSN
"Victory Capital Management, Inc. ...",1.98%,5653232,335349722,454957,+8.75%,TSN
"T. Rowe Price Associates, Inc. (I...",1.68%,4802366,284876351,-72453,-1.49%,TSN
"Northern Trust Investments, Inc.(...",1.51%,4320111,256268985,-80089,-1.82%,TSN
Dimensional Fund Advisors LP,1.45%,4143499,245792361,-56601,-1.35%,TSN
Fidelity Management & Research Co...,1.42%,4064883,241128860,610780,+17.68%,TSN
"The Vanguard Group, Inc.",8.02%,30925491,17824525248,338228,+1.11%,TMO
BlackRock Fund Advisors,4.97%,19154967,11040348330,268617,+1.42%,TMO
"SSgA Funds Management, Inc.",4.22%,16285261,9386335883,126385,+0.78%,TMO
